file,GRASPMOD_of,GRASPMOD_runtime (s),PR5_of,PR5_runtime (s)
MDG-a_10_100_m10.txt,355.5,0.54,355.5,0.49
MDG-a_12_100_m10.txt,354.25,0.67,354.25,0.57
MDG-a_13_n500_m50.txt,7757.38,61.91,7781.24,74.29
MDG-a_14_100_m10.txt,356.06,0.63,356.06,0.53
MDG-a_16_n500_m50.txt,7775.37,38.8,7792.77,81.91
MDG-a_17_n500_m50.txt,7686.59,68.66,7771.95,129.75
MDG-a_19_n500_m50.txt,7734.91,68.27,7738.08,121.81
MDG-a_1_100_m10.txt,360.15,0.95,360.15,0.86
MDG-a_20_100_m10.txt,349.31,1.05,349.31,1.02
MDG-a_20_n500_m50.txt,7702.12,68.99,7717.08,132.69
MDG-a_2_n500_m50.txt,7704.52,61.74,7725.77,130.15
MDG-a_4_100_m10.txt,355.72,1.01,355.72,0.79
MDG-a_5_n500_m50.txt,7717.39,63.26,7724.71,128.19
MDG-a_6_n500_m50.txt,7753.79,38.74,7762.23,70.93
MDG-a_9_n500_m50.txt,7728.15,39.54,7749.34,85.78
