file,GRASPMOD_of,GRASPMOD_runtime (s),PR5_of,PR5_runtime (s)
MDG-a_10_100_m10.txt,354.96,0.64,355.5,0.48
MDG-a_12_100_m10.txt,354.25,0.6,354.25,0.54
MDG-a_13_n500_m50.txt,7749.81,60.29,7775.62,73.92
MDG-a_14_100_m10.txt,356.06,0.61,356.06,0.54
MDG-a_16_n500_m50.txt,7736.6,37.42,7789.24,71.82
MDG-a_17_n500_m50.txt,7748.7,37.03,7785.98,74.75
MDG-a_19_n500_m50.txt,7698.83,36.69,7721.53,67.65
MDG-a_1_100_m10.txt,360.15,0.65,360.15,0.45
MDG-a_20_100_m10.txt,348.68,0.61,349.31,0.62
MDG-a_20_n500_m50.txt,7669.36,37.85,7703.34,74.07
MDG-a_2_n500_m50.txt,7708.76,38.24,7726.49,74.46
MDG-a_4_100_m10.txt,355.72,0.44,355.72,0.38
MDG-a_5_n500_m50.txt,7702.8,35.95,7707.71,72.05
MDG-a_6_n500_m50.txt,7729.35,36.57,7740.28,71.29
MDG-a_9_n500_m50.txt,7746.78,36.89,7756.14,74.97
