file,GRASPMOD_of,GRASPMOD_runtime (s),GRASP_of,GRASP_runtime (s)
Type1_22.1.txt,662792.0,47.11,662950.0,46.77
Type1_22.10.txt,662518.0,47.78,662473.0,46.48
Type1_22.11.txt,663257.0,45.97,663086.0,46.88
Type1_22.12.txt,662603.0,45.87,662557.0,47.01
Type1_22.13.txt,662723.0,48.42,663129.0,46.37
Type1_22.14.txt,663076.0,46.85,662329.0,45.6
Type1_22.15.txt,663040.0,44.46,662577.0,46.96
Type1_22.16.txt,663282.0,45.04,662406.0,43.77
Type1_22.17.txt,663316.0,44.66,663104.0,45.43
Type1_22.18.txt,663854.0,43.5,663619.0,47.22
Type1_22.19.txt,662067.0,45.16,662182.0,45.65
Type1_22.2.txt,662898.0,45.37,663336.0,45.96
Type1_22.20.txt,663086.0,43.64,663537.0,48.11
Type1_22.3.txt,663300.0,45.59,663109.0,45.67
Type1_22.4.txt,662330.0,63.28,662667.0,56.2
Type1_22.5.txt,663289.0,49.28,662524.0,50.02
Type1_22.6.txt,662957.0,51.11,662642.0,48.38
Type1_22.7.txt,662810.0,49.58,662905.0,50.16
Type1_22.8.txt,663023.0,53.19,662773.0,50.08
Type1_22.9.txt,662548.0,47.82,662365.0,48.03
