file,GRASPMOD_of,GRASPMOD_runtime (s),GRASP_of,GRASP_runtime (s)
Type1_22.1.txt,663011.0,16.87,662357.0,13.35
Type1_22.10.txt,662837.0,16.21,662647.0,17.11
Type1_22.11.txt,663623.0,15.98,662341.0,16.99
Type1_22.12.txt,662634.0,11.92,661612.0,12.89
Type1_22.13.txt,663184.0,17.3,661636.0,17.06
Type1_22.14.txt,662139.0,16.73,662485.0,16.84
Type1_22.15.txt,662550.0,16.79,662663.0,16.99
Type1_22.16.txt,662771.0,18.08,662590.0,17.12
Type1_22.17.txt,663211.0,16.81,662953.0,14.58
Type1_22.18.txt,663645.0,15.68,663664.0,16.86
Type1_22.19.txt,662239.0,17.28,662388.0,16.82
Type1_22.2.txt,662376.0,17.0,662830.0,16.87
Type1_22.20.txt,663869.0,17.1,663170.0,17.4
Type1_22.3.txt,662733.0,12.22,662616.0,12.99
Type1_22.4.txt,662500.0,17.24,662239.0,17.18
Type1_22.5.txt,662160.0,15.88,661899.0,12.82
Type1_22.6.txt,663383.0,16.83,662422.0,15.41
Type1_22.7.txt,664099.0,16.83,662830.0,16.78
Type1_22.8.txt,663079.0,16.79,662215.0,14.55
Type1_22.9.txt,663348.0,17.06,663352.0,16.8
