file,GRASPMOD_of,GRASPMOD_runtime (s),PR1_of,PR1_runtime (s),PR2_of,PR2_runtime (s),PR3_of,PR3_runtime (s),PR4_of,PR4_runtime (s),GRASP_of,GRASP_runtime (s)
MDG-a_10_100_m10.txt,355.5,0.22,355.5,0.01,355.5,0.0,355.5,0.04,355.5,0.0,355.5,0.0
MDG-a_12_100_m10.txt,354.25,0.22,354.25,0.02,354.25,0.0,354.25,0.05,354.25,0.01,354.25,0.01
MDG-a_13_n500_m50.txt,7762.5,15.09,7762.5,25.52,7762.5,0.04,7770.07,28.14,7762.5,15.17,7745.35,15.17
MDG-a_14_100_m10.txt,356.06,0.24,356.06,0.01,356.06,0.0,356.06,0.04,356.06,0.01,356.06,0.01
MDG-a_16_n500_m50.txt,7719.88,15.33,7719.88,31.24,7719.88,0.05,7719.88,53.36,7719.88,33.74,7746.89,33.74
MDG-a_17_n500_m50.txt,7734.72,24.15,7734.72,26.16,7734.72,0.03,7780.99,31.01,7759.32,30.29,7681.84,30.29
MDG-a_19_n500_m50.txt,7685.48,15.29,7685.48,34.03,7685.48,0.05,7690.63,38.04,7687.8,23.93,7723.87,23.93
MDG-a_1_100_m10.txt,360.15,0.24,360.15,0.01,360.15,0.0,360.15,0.03,360.15,0.01,360.15,0.01
MDG-a_20_100_m10.txt,349.31,0.24,349.31,0.02,349.31,0.0,349.31,0.04,349.31,0.01,348.68,0.01
MDG-a_20_n500_m50.txt,7675.45,15.12,7680.04,28.02,7675.45,0.03,7681.86,29.19,7681.5,27.38,7714.41,27.38
MDG-a_2_n500_m50.txt,7681.07,15.24,7682.68,28.39,7681.07,0.05,7684.23,28.77,7682.68,27.42,7689.91,27.42
MDG-a_4_100_m10.txt,355.72,0.23,355.72,0.02,355.72,0.0,355.72,0.02,355.72,0.01,353.51,0.01
MDG-a_5_n500_m50.txt,7684.5,13.66,7684.5,25.68,7684.5,0.05,7684.5,27.06,7684.5,25.06,7670.38,25.06
MDG-a_6_n500_m50.txt,7688.82,15.21,7688.82,33.76,7688.82,0.06,7712.47,35.55,7712.47,24.32,7724.44,24.32
MDG-a_9_n500_m50.txt,7716.59,14.56,7716.59,25.7,7716.59,0.04,7756.06,28.11,7756.06,13.45,7720.93,13.45
