file,GRASPMOD_of,GRASPMOD_runtime (s),PR1_of,PR1_runtime (s),PR2_of,PR2_runtime (s),PR3_of,PR3_runtime (s),PR4_of,PR4_runtime (s),GRASP_of,GRASP_runtime (s)
MDG-a_10_100_m10.txt,355.5,0.57,355.5,0.01,355.5,0.0,355.5,0.04,355.5,0.03,355.5,0.03
MDG-a_12_100_m10.txt,354.25,0.65,354.25,0.02,354.25,0.0,354.25,0.03,354.25,0.02,354.25,0.02
MDG-a_13_n500_m50.txt,7749.22,44.98,7749.22,30.04,7749.22,0.05,7778.3,32.67,7753.76,48.19,7749.43,48.19
MDG-a_14_100_m10.txt,356.06,0.43,356.06,0.01,356.06,0.0,356.06,0.03,356.06,0.02,356.06,0.02
MDG-a_16_n500_m50.txt,7752.8,48.48,7752.8,25.21,7752.8,0.05,7789.24,27.53,7787.41,42.3,7733.95,42.3
MDG-a_17_n500_m50.txt,7735.83,44.42,7747.57,25.32,7735.83,0.05,7784.69,29.05,7770.01,48.74,7782.57,48.74
MDG-a_19_n500_m50.txt,7676.91,45.99,7677.49,28.16,7676.91,0.05,7713.82,29.99,7686.11,36.6,7709.11,36.6
MDG-a_1_100_m10.txt,360.15,0.64,360.15,0.01,360.15,0.0,360.15,0.03,360.15,0.01,360.15,0.01
MDG-a_20_100_m10.txt,349.31,0.47,349.31,0.01,349.31,0.0,349.31,0.04,349.31,0.02,349.31,0.02
MDG-a_20_n500_m50.txt,7709.32,45.33,7709.32,29.27,7709.32,0.05,7718.07,31.08,7709.32,44.37,7668.01,44.37
MDG-a_2_n500_m50.txt,7706.32,43.04,7706.32,24.98,7706.32,0.05,7711.2,28.39,7708.64,41.36,7718.19,41.36
MDG-a_4_100_m10.txt,355.72,0.68,355.72,0.01,355.72,0.0,355.72,0.02,355.72,0.02,355.72,0.02
MDG-a_5_n500_m50.txt,7731.65,43.41,7731.65,26.9,7731.65,0.03,7751.27,28.87,7749.75,45.71,7716.31,45.71
MDG-a_6_n500_m50.txt,7742.41,43.85,7742.41,25.57,7742.41,0.03,7770.48,29.85,
