file,GRASPMOD_of,GRASPMOD_runtime (s),PR1_of,PR1_runtime (s),PR2_of,PR2_runtime (s),PR3_of,PR3_runtime (s),PR4_of,PR4_runtime (s),GRASP_of,GRASP_runtime (s)
MDG-a_10_100_m10.txt,351.96,0.03,351.96,0.02,351.96,0.0,352.72,0.04,351.96,0.01,348.51,0.01
MDG-a_12_100_m10.txt,354.25,0.03,354.25,0.02,354.25,0.0,354.25,0.03,354.25,0.01,354.25,0.01
MDG-a_13_n500_m50.txt,7689.77,2.34,7689.77,27.19,7689.77,0.03,7754.32,30.65,7740.95,22.17,7726.97,22.17
MDG-a_14_100_m10.txt,356.06,0.03,356.06,0.01,356.06,0.0,356.06,0.02,356.06,0.01,344.52,0.01
MDG-a_16_n500_m50.txt,7732.49,3.07,7732.49,33.67,7732.49,0.03,7748.34,33.45,7744.06,20.75,7648.53,20.75
MDG-a_17_n500_m50.txt,7646.19,2.6,7646.19,27.14,7646.19,0.04,7682.4,28.08,7696.69,22.2,7650.82,22.2
MDG-a_19_n500_m50.txt,7659.16,2.14,7659.16,29.51,7659.16,0.05,7726.41,32.44,7701.73,21.19,7703.26,21.19
MDG-a_1_100_m10.txt,360.15,0.03,360.15,0.01,360.15,0.0,360.15,0.05,360.15,0.01,354.96,0.01
MDG-a_20_100_m10.txt,344.0,0.03,344.0,0.01,344.0,0.0,344.0,0.02,344.0,0.01,348.3,0.01
MDG-a_20_n500_m50.txt,7620.5,2.02,7629.3,23.85,7620.5,0.05,7714.87,26.44,7711.55,20.31,7705.25,20.31
MDG-a_2_n500_m50.txt,7659.25,2.54,7659.25,24.89,7659.25,0.03,7677.89,26.08,7689.07,32.16,7683.4,32.16
MDG-a_4_100_m10.txt,355.72,0.03,355.72,0.01,355.72,0.0,355.72,0.02,355.72,0.01,355.72,0.01
MDG-a_5_n500_m50.txt,7636.35,2.82,7636.35,24.85,7636.35,0.03,7652.21,26.8,7651.21,37.22,7626.45,37.22
MDG-a_6_n500_m50.txt,7698.51,5.03,7698.51,25.54,7698.51,0.1,7770.48,17.32,7698.51,7.57,7663.77,7.57
MDG-a_9_n500_m50.txt,7722.92,2.86,7723.91,12.2,7722.92,0.02,7747.9,14.66,7731.87,7.42,7714.25,7.42
