file,GRASPMOD_of,GRASPMOD_runtime (s),PR3_of,PR3_runtime (s),PR4_of,PR4_runtime (s)
MDG-a_10_100_m10.txt,355.5,0.21,355.5,0.04,355.5,0.01
MDG-a_12_100_m10.txt,354.25,0.16,354.25,0.03,354.25,0.01
MDG-a_13_n500_m50.txt,7765.02,12.35,7765.02,36.39,7765.02,48.45
MDG-a_14_100_m10.txt,356.06,0.3,356.06,0.05,356.06,0.03
MDG-a_16_n500_m50.txt,7715.3,23.37,7715.3,61.2,7715.3,38.86
MDG-a_17_n500_m50.txt,7755.01,22.19,7785.72,40.7,7778.08,53.77
MDG-a_19_n500_m50.txt,7686.09,23.54,7755.41,55.04,7743.6,35.92
MDG-a_1_100_m10.txt,360.15,0.38,360.15,0.06,360.15,0.02
MDG-a_20_100_m10.txt,348.68,0.24,349.31,0.09,348.68,0.02
MDG-a_20_n500_m50.txt,7672.08,20.99,7672.08,33.63,7672.08,22.27
MDG-a_2_n500_m50.txt,7705.07,12.08,7729.56,29.06,7705.07,16.11
MDG-a_4_100_m10.txt,355.72,0.19,355.72,0.03,355.72,0.01
MDG-a_5_n500_m50.txt,7736.0,12.82,7736.0,53.64,7736.0,39.35
MDG-a_6_n500_m50.txt,7743.11,13.04,7748.06,25.15,7745.2,24.43
MDG-a_9_n500_m50.txt,7690.02,13.84,7729.49,32.05,7722.07,29.56
