file,GRASPMOD_of,GRASPMOD_runtime (s),PR1_of,PR1_runtime (s),PR2_of,PR2_runtime (s),PR3_of,PR3_runtime (s),PR4_of,PR4_runtime (s),GRASP_of,GRASP_runtime (s)
MDG-a_10_100_m10.txt,355.5,0.64,355.5,0.01,355.5,0.0,355.5,0.03,355.5,0.0,355.5,0.0
MDG-a_12_100_m10.txt,354.25,0.65,354.25,0.02,354.25,0.0,354.25,0.03,354.25,0.01,354.25,0.01
MDG-a_13_n500_m50.txt,7749.22,44.2,7749.22,29.38,7749.22,0.05,7778.3,31.43,7754.83,33.94,7749.43,33.94
MDG-a_14_100_m10.txt,356.06,0.61,356.06,0.02,356.06,0.0,356.06,0.04,356.06,0.01,356.06,0.01
MDG-a_16_n500_m50.txt,7752.8,41.0,7752.8,23.3,7752.8,0.05,7789.24,24.38,7789.24,23.95,7733.95,23.95
MDG-a_17_n500_m50.txt,7735.83,43.12,7747.57,25.39,7735.83,0.04,7784.69,28.17,7764.28,27.02,7782.57,27.02
MDG-a_19_n500_m50.txt,7676.91,44.83,7677.49,27.73,7676.91,0.03,7713.82,29.16,7683.33,20.56,7709.11,20.56
MDG-a_1_100_m10.txt,360.15,0.58,360.15,0.01,360.15,0.0,360.15,0.03,360.15,0.0,360.15,0.0
MDG-a_20_100_m10.txt,349.31,0.57,349.31,0.02,349.31,0.0,349.31,0.06,349.31,0.01,349.31,0.01
MDG-a_20_n500_m50.txt,7709.32,42.06,7709.32,28.12,7709.32,0.03,7718.07,29.93,7709.74,28.56,7668.01,28.56
MDG-a_2_n500_m50.txt,7706.32,42.93,7706.32,26.72,7706.32,0.03,7711.2,29.0,7708.64,18.53,7718.19,18.53
MDG-a_4_100_m10.txt,355.72,0.68,355.72,0.01,355.72,0.0,355.72,0.02,355.72,0.01,355.72,0.01
MDG-a_5_n500_m50.txt,7731.65,43.93,7731.65,26.08,7731.65,0.03,7751.27,29.27,7751.27,14.13,7716.31,14.13
MDG-a_6_n500_m50.txt,7742.41,41.76,7742.41,27.23,7742.41,0.05,7770.48,29.34,7760.65,17.81,7744.47,17.81
MDG-a_9_n500_m50.txt,7742.6,46.01,7742.6,25.41,7742.6,0.05,7747.31,25.5,7742.6,15.84,7770.07,15.84
