file,GRASPMOD_of,GRASPMOD_runtime (s),PR1_of,PR1_runtime (s),PR2_of,PR2_runtime (s),PR3_of,PR3_runtime (s),PR4_of,PR4_runtime (s),GRASP_of,GRASP_runtime (s)
MDG-a_10_100_m10.txt,355.5,0.59,355.5,0.02,355.5,0.0,355.5,0.06,355.5,0.01,355.5,0.55
MDG-a_12_100_m10.txt,354.25,0.49,354.25,0.01,354.25,0.0,354.25,0.02,354.25,0.01,354.25,0.52
MDG-a_13_n500_m50.txt,7746.5,37.6,7746.5,27.55,7746.5,0.05,7749.17,28.43,7755.44,19.63,7716.93,37.1
MDG-a_14_100_m10.txt,356.06,0.51,356.06,0.01,356.06,0.0,356.06,0.02,356.06,0.0,356.06,0.46
MDG-a_16_n500_m50.txt,7747.75,37.97,7747.75,26.08,7747.75,0.03,7748.85,30.29,7748.85,23.17,7740.03,38.2
MDG-a_17_n500_m50.txt,7737.32,36.87,7737.32,36.17,7737.32,0.05,7754.72,37.82,7753.34,31.27,7718.35,39.88
MDG-a_19_n500_m50.txt,7680.39,36.97,7680.39,29.83,7680.39,0.03,7695.2,33.9,7695.2,19.09,7700.23,36.95
MDG-a_1_100_m10.txt,360.15,0.47,360.15,0.01,360.15,0.0,360.15,0.03,360.15,0.01,360.15,0.59
MDG-a_20_100_m10.txt,349.31,0.56,349.31,0.01,349.31,0.0,349.31,0.04,349.31,0.01,349.31,0.54
MDG-a_20_n500_m50.txt,7690.4,38.74,7690.4,25.73,7690.4,0.04,7693.71,29.6,7690.4,17.93,7686.16,64.67
MDG-a_2_n500_m50.txt,7681.63,65.86,7683.35,45.4,7681.63,0.1,7741.61,50.02,7696.81,25.51,7721.3,41.14
MDG-a_4_100_m10.txt,355.72,0.53,355.72,0.02,355.72,0.0,355.72,0.04,355.72,0.01,355.72,0.56
MDG-a_5_n500_m50.txt,7714.53,40.56,7721.58,29.64,7714.53,0.05,7738.05,33.27,7738.05,20.55,7685.18,37.95
MDG-a_6_n500_m50.txt,7725.13,37.92,7725.13,31.06,7725.13,0.05,7751.48,34.13,7746.96,21.68,7745.65,40.74
MDG-a_9_n500_m50.txt,7749.94,63.97,7751.71,40.49,7749.94,0.12,7751.71,50.72,7751.71,30.13,7722.24,72.5
