file,GRASPMOD_of,GRASPMOD_runtime (s),GRASP_of,GRASP_runtime (s)
MDG-a_10_100_m10.txt,352.72,0.08,351.96,0.09
MDG-a_12_100_m10.txt,346.02,0.08,350.18,0.08
MDG-a_13_n500_m50.txt,7725.24,5.18,7702.5,4.9
MDG-a_14_100_m10.txt,354.17,0.08,356.06,0.08
MDG-a_16_n500_m50.txt,7686.11,6.07,7674.39,5.77
MDG-a_17_n500_m50.txt,7742.86,4.96,7734.24,5.3
MDG-a_19_n500_m50.txt,7692.07,5.56,7717.47,5.08
MDG-a_1_100_m10.txt,360.15,0.05,360.15,0.08
MDG-a_20_100_m10.txt,348.68,0.07,348.3,0.08
MDG-a_20_n500_m50.txt,7640.86,4.99,7698.57,5.16
MDG-a_2_n500_m50.txt,7671.8,5.07,7703.42,5.49
MDG-a_4_100_m10.txt,355.72,0.07,355.72,0.09
MDG-a_5_n500_m50.txt,7653.66,6.46,7704.24,8.5
MDG-a_6_n500_m50.txt,7683.68,9.86,7672.9,9.57
MDG-a_9_n500_m50.txt,7686.56,8.89,7748.27,9.37
