file,GRASPMOD_of,GRASPMOD_runtime (s),PR3_of,PR3_runtime (s),PR4_of,PR4_runtime (s)
MDG-a_10_100_m10.txt,355.5,0.22,355.5,0.02,355.5,0.03
MDG-a_12_100_m10.txt,354.25,0.2,354.25,0.02,354.25,0.02
MDG-a_13_n500_m50.txt,7765.02,21.93,7765.02,44.24,7765.02,38.72
MDG-a_14_100_m10.txt,356.06,0.21,356.06,0.02,356.06,0.02
MDG-a_16_n500_m50.txt,7715.3,14.59,7715.3,49.47,7715.3,38.69
MDG-a_17_n500_m50.txt,7755.01,13.85,7771.47,31.17,7771.47,33.28
MDG-a_19_n500_m50.txt,7686.09,13.67,7736.58,28.79,7743.6,40.56
MDG-a_1_100_m10.txt,360.15,0.23,360.15,0.02,360.15,0.02
MDG-a_20_100_m10.txt,348.68,0.12,348.68,0.02,349.31,0.02
MDG-a_20_n500_m50.txt,7672.08,12.65,7672.08,28.12,7672.08,32.35
MDG-a_2_n500_m50.txt,7705.07,12.98,7705.07,25.18,7705.07,30.95
MDG-a_4_100_m10.txt,355.72,0.17,355.72,0.02,355.72,0.02
MDG-a_5_n500_m50.txt,7736.0,15.95,7736.0,35.27,7736.0,44.37
MDG-a_6_n500_m50.txt,7743.11,13.56,7743.11,22.86,7745.2,27.32
MDG-a_9_n500_m50.txt,7690.02,12.67,7697.46,31.63,7701.28,34.44
