file,GRASPMOD_of,GRASPMOD_runtime (s),PR5_of,PR5_runtime (s)
MDG-a_10_100_m10.txt,355.5,0.53,355.5,0.0
MDG-a_12_100_m10.txt,354.25,0.53,354.25,0.0
MDG-a_13_n500_m50.txt,7754.43,53.36,7754.43,0.09
MDG-a_14_100_m10.txt,356.06,0.88,356.06,0.0
MDG-a_16_n500_m50.txt,7790.17,69.91,7790.17,0.08
MDG-a_17_n500_m50.txt,7738.92,70.38,7738.92,0.08
MDG-a_19_n500_m50.txt,7701.59,67.02,7701.59,0.05
MDG-a_1_100_m10.txt,360.15,1.01,360.15,0.0
MDG-a_20_100_m10.txt,349.31,0.95,349.31,0.0
MDG-a_20_n500_m50.txt,7698.95,58.41,7698.95,0.08
MDG-a_2_n500_m50.txt,7742.31,60.77,7742.31,0.05
MDG-a_4_100_m10.txt,355.72,0.54,355.72,0.0
MDG-a_5_n500_m50.txt,7711.0,65.06,7711.0,0.07
MDG-a_6_n500_m50.txt,7728.8,44.7,7728.8,0.05
MDG-a_9_n500_m50.txt,7719.78,57.02,7719.78,0.08
