file,GRASPMOD_of,GRASPMOD_runtime (s),PR1_of,PR1_runtime (s),PR2_of,PR2_runtime (s),PR3_of,PR3_runtime (s),PR4_of,PR4_runtime (s),GRASP_of,GRASP_runtime (s)
MDG-a_10_100_m10.txt,351.96,0.05,351.96,0.02,351.96,0.0,354.96,0.07,351.96,0.01,351.43,0.01
MDG-a_12_100_m10.txt,354.25,0.07,354.25,0.02,354.25,0.0,354.25,0.06,354.25,0.02,354.25,0.02
MDG-a_13_n500_m50.txt,7688.81,4.16,7688.81,23.4,7688.81,0.05,7746.68,25.36,7714.29,19.91,7684.62,19.91
MDG-a_14_100_m10.txt,356.06,0.06,356.06,0.01,356.06,0.0,356.06,0.02,356.06,0.0,353.13,0.0
MDG-a_16_n500_m50.txt,7736.57,4.07,7736.57,28.14,7736.57,0.05,7779.59,30.12,7767.93,31.26,7691.07,31.26
MDG-a_17_n500_m50.txt,7675.04,3.95,7676.34,26.86,7675.04,0.05,7699.39,29.59,7701.07,25.41,7701.94,25.41
MDG-a_19_n500_m50.txt,7662.0,3.54,7665.09,33.79,7662.0,0.04,7673.7,37.13,7688.04,18.43,7659.16,18.43
MDG-a_1_100_m10.txt,360.15,0.06,360.15,0.02,360.15,0.0,360.15,0.04,360.15,0.01,360.15,0.01
MDG-a_20_100_m10.txt,348.3,0.06,348.3,0.02,348.3,0.0,348.3,0.03,348.3,0.01,347.09,0.01
MDG-a_20_n500_m50.txt,7693.63,3.33,7693.63,32.31,7693.63,0.05,7706.72,33.74,7706.72,24.59,7652.04,24.59
MDG-a_2_n500_m50.txt,7649.98,3.48,7649.98,31.56,7649.98,0.05,7701.94,33.42,7703.11,43.0,7694.17,43.0
MDG-a_4_100_m10.txt,355.72,0.06,355.72,0.01,355.72,0.0,355.72,0.03,355.72,0.01,355.72,0.01
MDG-a_5_n500_m50.txt,7628.87,3.88,7628.87,31.46,7628.87,0.05,7653.33,34.12,7637.66,18.51,7638.25,18.51
MDG-a_6_n500_m50.txt,7686.89,4.24,7686.89,25.32,7686.89,0.05,7752.61,27.61,7728.53,20.31,7731.55,20.31
MDG-a_9_n500_m50.txt,7697.96,3.46,7697.96,19.86,7697.96,0.05,7725.91,22.65,7725.91,17.35,7662.63,17.35
